cf,pa,ef,cha,temporalidad,ace,sa,productores_atendidos
Manejo Fitosanitario del Maíz,"Gusano cogollero (Spodoptera frugiperda), Gusano elotero (Helicoverpa zea) y Chapulín (Brachystola sp., Sphenarium sp., Melanoplus sp.)",Ciudad de México,Maíz,Tercer Trimestre,Control Biológico,819.5,551.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda) y Gusano elotero (Helicoverpa zea),Coahuila,Maíz,Tercer Trimestre,Control Biológico,2043.0,90.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Coahuila,Maíz,Tercer Trimestre,Control Químico,860.0,22.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Durango,Maíz,Tercer Trimestre,Control Biológico,1292.0,84.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Durango,Maíz,Tercer Trimestre,Control Químico,511.0,46.0
Manejo Fitosanitario del Maíz,"Gusano cogollero (Spodoptera frugiperda), Gusano elotero (Helicoverpa zea), Chicharrita del maíz (Dalbulus maidis) y Rata de campo (Sigmodon mascotensis, Mus musculus y Sigmodon arizonae)",Guanajuato,Maíz,Tercer Trimestre,Control Biológico,671.0,172.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda) y Gusano elotero (Helicoverpa zea),Guerrero,Maíz,Tercer Trimestre,Control Biológico,646.0,179.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Guerrero,Maíz,Tercer Trimestre,Control Etológico,36.0,16.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Guerrero,Maíz,Tercer Trimestre,Control Químico,138.0,41.0
Manejo Fitosanitario del Maíz,"Gusano cogollero (Spodoptera frugiperda), Gusano elotero (Helicoverpa zea), Chapulín (Brachystola sp., Sphenarium sp., Melanoplus sp.) y Plagas rizófagas (Phyllophaga spp.)",Hidalgo,Maíz,Tercer Trimestre,Control Biológico,1068.0,505.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Jalisco,Maíz,Tercer Trimestre,Control Etológico,45.0,10.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda) y Plagas rizófagas (Phyllophaga spp.),México,Maíz,Tercer Trimestre,Control Biológico,711.0,578.5
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),México,Maíz,Tercer Trimestre,Control Químico,894.0,515.0
